ID,Name,Longitude,Latitude,Location,Status,BikesAvailable,EBikesAvailable,BikesDisabled,DocksAvailable,DocksDisabled,IsReturning,IsRenting,IsInstalled,TimeStamp
5e93b806-08e1-4ef9-98ae-d3dda20e0469,Eastern Pkwy & Schenectady Ave,-73.93376,40.66876,"https://www.google.com/maps/?q=40.668760,-73.933760",active,7,0,2,15,0,true,true,true,2023-07-29T15:06:22-04:00
a958a8af-a0cc-4bca-9114-93c74ce3c693,Frost St & Debevoise Ave,-73.93948,40.71882,"https://www.google.com/maps/?q=40.718820,-73.939480",active,5,0,0,17,0,true,true,true,2023-07-29T15:06:22-04:00
b7df61c0-8ead-46cb-9d6e-a6a3011ffb71,31 Ave & Steinway St,-73.9170071,40.7611488,"https://www.google.com/maps/?q=40.761149,-73.917007",active,2,0,1,24,0,true,true,true,2023-07-29T15:06:22-04:00
fec4aa1b-9fc1-4dd9-ab39-c1d7370a6e54,Hunts Point Ave & Bryant Ave,-73.8855,40.813991,"https://www.google.com/maps/?q=40.813991,-73.885500",active,14,4,0,6,1,true,true,true,2023-07-29T15:06:22-04:00
1b9568a5-7ac3-4950-836b-9651fea9e7c9,E 81 St & 1 Ave,-73.95197331905365,40.77377781072322,"https://www.google.com/maps/?q=40.773778,-73.951973",active,12,2,2,16,0,true,true,true,2023-07-29T15:06:22-04:00
3f36c26d-c57f-47cc-9672-20f19babb36a,31 St & Broadway,-73.925921,40.761584,"https://www.google.com/maps/?q=40.761584,-73.925921",active,12,1,1,20,0,true,true,true,2023-07-29T15:06:22-04:00
f882ccc8-45aa-426b-aef6-514fe1d3d9cc,48 St & 37 Ave,-73.915026,40.751555,"https://www.google.com/maps/?q=40.751555,-73.915026",active,22,3,0,6,0,true,true,true,2023-07-29T15:06:22-04:00
b64eb0a5-d6d4-4f45-8c9a-e2d004819c99,34 Ave & 31 St,-73.92714411020279,40.759604471387945,"https://www.google.com/maps/?q=40.759604,-73.927144",active,15,2,1,3,0,true,true,true,2023-07-29T15:06:22-04:00
66db631c-0aca-11e7-82f6-3863bb44ef7c,Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,"https://www.google.com/maps/?q=40.739017,-74.002638",active,33,3,7,34,0,true,true,true,2023-07-29T15:06:22-04:00
7f3aa940-18ef-4900-89dc-cdb05f693f31,Halsey St & Ralph Ave,-73.92299,40.68494,"https://www.google.com/maps/?q=40.684940,-73.922990",active,13,0,0,7,0,true,true,true,2023-07-29T15:06:22-04:00
66de1f7f-0aca-11e7-82f6-3863bb44ef7c,E 102 St & Park Ave,-73.95033068,40.7904828,"https://www.google.com/maps/?q=40.790483,-73.950331",active,21,0,2,10,0,true,true,true,2023-07-29T15:06:22-04:00
66dc90d5-0aca-11e7-82f6-3863bb44ef7c,Little West St & 1 Pl,-74.01677685,40.70569254,"https://www.google.com/maps/?q=40.705693,-74.016777",active,26,1,3,6,0,true,true,true,2023-07-29T15:06:22-04:00
66dd4ac1-0aca-11e7-82f6-3863bb44ef7c,Central Park West & W 76 St,-73.97374737,40.77896784,"https://www.google.com/maps/?q=40.778968,-73.973747",active,30,11,3,6,0,true,true,true,2023-07-29T15:06:22-04:00
b9deb521-41b6-4f8a-ac78-0e58e3977f2c,Stuyvesant Ave & Hart St,-73.9343,40.69465,"https://www.google.com/maps/?q=40.694650,-73.934300",active,0,0,1,26,0,true,true,true,2023-07-29T15:06:22-04:00
54782566-697b-497e-a503-dc1f39963eb2,38 St & 30 Ave,-73.91583994030952,40.764174520197685,"https://www.google.com/maps/?q=40.764175,-73.915840",active,14,1,2,8,0,true,true,true,2023-07-29T15:06:22-04:00
b30815c0-99b6-451b-be15-902992cb8abb,University Pl & E 14 St,-73.992085,40.734814,"https://www.google.com/maps/?q=40.734814,-73.992085",active,7,1,6,47,0,true,true,true,2023-07-29T15:06:22-04:00
c37931bb-8571-4671-a9a8-f3cf23897680,1 Ave & E 6 St,-73.98616880178452,40.72633085971696,"https://www.google.com/maps/?q=40.726331,-73.986169",active,12,0,1,77,0,true,true,true,2023-07-29T15:06:22-04:00
29223935-a682-411c-9f25-577bbb9804fc,Knickerbocker Ave & Thames St,-73.92976,40.70539,"https://www.google.com/maps/?q=40.705390,-73.929760",active,19,2,0,1,0,true,true,true,2023-07-29T15:06:22-04:00
66db33fc-0aca-11e7-82f6-3863bb44ef7c,W 18 St & 6 Ave,-73.99456405,40.73971301,"https://www.google.com/maps/?q=40.739713,-73.994564",active,3,1,7,59,0,true,true,true,2023-07-29T15:06:22-04:00
66db3708-0aca-11e7-82f6-3863bb44ef7c,Old Fulton St,-73.99383605,40.70277159,"https://www.google.com/maps/?q=40.702772,-73.993836",active,36,1,1,1,0,true,true,true,2023-07-29T15:06:22-04:00
66db79a3-0aca-11e7-82f6-3863bb44ef7c,Fulton St & Broadway,-74.009447,40.711066,"https://www.google.com/maps/?q=40.711066,-74.009447",active,16,7,1,32,0,true,true,true,2023-07-29T15:06:22-04:00
2436e886-dc53-47cb-8733-d663f9dcd922,W 180 St & Ft Washington Ave,-73.938423,40.849972,"https://www.google.com/maps/?q=40.849972,-73.938423",active,14,10,3,7,0,true,true,true,2023-07-29T15:06:22-04:00
66ddef96-0aca-11e7-82f6-3863bb44ef7c,2 Ave & E 96 St,-73.9471673,40.7839636,"https://www.google.com/maps/?q=40.783964,-73.947167",active,27,0,4,14,0,true,true,true,2023-07-29T15:06:22-04:00
bf317efc-13f1-42be-8243-373a29354033,E 115 St & Lexington Ave,-73.9423,40.797911,"https://www.google.com/maps/?q=40.797911,-73.942300",active,16,4,3,6,0,true,true,true,2023-07-29T15:06:22-04:00
1828964993433043090,Lott St & Erasmus St,-73.95408,40.64949,"https://www.google.com/maps/?q=40.649490,-73.954080",active,2,0,0,17,0,true,true,true,2023-07-29T15:06:22-04:00
c8060816-b4aa-4fd9-bc66-af28bf61dc87,Hamilton Pl & W 140 St,-73.951346,40.822756,"https://www.google.com/maps/?q=40.822756,-73.951346",active,4,3,1,15,0,true,true,true,2023-07-29T15:06:22-04:00
be435dfd-e859-487c-ae32-3d2b76d49a49,E 156 & Brook Ave,-73.912411,40.819823,"https://www.google.com/maps/?q=40.819823,-73.912411",active,10,1,0,9,0,true,true,true,2023-07-29T15:06:22-04:00
