School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
P.S. 114 - BROOKLYN,K,18,FY18 RESO A AUDITORIUM  UPGRADE,39300,CIP,K114,1077 REMSEN AVENUE,Brooklyn,11236,BROOKLYN,40.642545,-73.908529,318,46,3229159,3081600022,964,BK1803,"(40.642545, -73.908529)",18-Oct,13827,5,2,8,42
P.S. 111 - BRONX,X,11,FY17 RESO A CAFEERIA/MULTIPURPOSE ROOM UPGRADE,343000,CIP,X111,3740 BAYCHESTER AVENUE,Bronx,10466,BRONX,40.884343,-73.840254,212,12,2065992,2049160001,48401,BX1202,"(40.884343, -73.840254)",18-Oct,11275,29,5,2,30
P.S. 116 - MANHATTAN,M,2,FY18 RESO A SAFETY SYSTEMS,144450,CIP,M116,210 EAST 33 STREET,Manhattan,10016,MANHATTAN,40.744838,-73.978116,106,4,1020080,1009130007,7002,MN0603,"(40.744838, -73.978116)",18-Oct,12078,71,4,50,9
M721 SPED - MANHATTAN,M,2,REINFORCE CINDER/FLOORS/ACCESSIBLITY/ELEC UPG/FA,6142800,CIP,M641,16 CLARKSON STREET,Manhattan,10014,MANHATTAN,40.729412,-74.006242,102,3,1009757,1005810054,67,MN0203,"(40.729412, -74.006242)",18-Oct,12077,57,4,10,3
P.S. 199 - QUEENS,Q,24,EXTERIOR MASONRY/PARAPETS,2580000,CIP,Q199,39-20 48 AVENUE,Queens,11104,QUEENS,40.740088,-73.926214,402,26,4002915,4002060003,189,QN0202,"(40.740088, -73.926214)",18-Oct,16861,53,3,33,66
P.S. 58 - STATEN ISLAND,R,31,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,596000,CIP,R058,77 MARSH AVENUE,Staten Island,10314,STATEN IS,40.583139,-74.161862,502,51,5145698,5024500305,27702,SI0204,"(40.583139, -74.161862)",18-Oct,10700,30,1,9,75
P.S. 108 - MANHATTAN,M,4,AC INITIATIVE,700000,CIP,M108,1615 MADISON AVENUE,Manhattan,10029,MANHATTAN,40.795146,-73.948368,111,8,1051584,1016140021,17401,MN1101,"(40.795146, -73.948368)",18-Oct,12426,7,4,35,14
J.H.S. 216 - QUEENS,Q,26,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,6000761,CIP,Q216,64-20 175 STREET,Queens,11365,QUEENS,40.737517,-73.794031,408,24,4149078,4069030001,1341,QN0803,"(40.737517, -73.794031)",18-Oct,14507,25,3,24,65
I.S. 343 - BRONX,X,7,FY16 RESO A SUPPLEMENTAL COOLING,579995,CIP,X139,345 BROOK AVENUE,Bronx,10454,BRONX,40.81004,-73.917792,201,8,2000391,2022860036,41,BX0101,"(40.81004, -73.917792)",18-Oct,10932,49,5,35,23
P.S. 92 - QUEENS,Q,30,Addition,0,CAP,Q292,99-01 34TH AVENUE,Queens,11368,QUEENS,40.755418,-73.869017,403,21,4042496,4017140018,377,QN0303,"(40.755418, -73.869017)",18-Oct,14510,65,3,21,73
