School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
"HS FOR CONST.TRADES,ENGG.,& ARCH-Q",Q,27,FY19 RESO A AUDITORIUM UPGRADE,475000,CIP,Q650,94-06 104 STREET,Queens,11204,QUEENS,40.689591,-73.840717,409,29,4438609,4093810044,114,QN0904,"(40.689591, -73.840717)",23-Aug,24012,46,3,46,60
BROOKLYN TECH HS - K,K,13,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,24193000,CIP,K430,29 FT GREENE PLACE,Brooklyn,11204,BROOKLYN,40.688834,-73.976905,302,35,3058752,3020980013,33,BK0203,"(40.688834, -73.976905)",23-Aug,17619,68,2,48,55
P.S. 112 - BROOKLYN,K,20,EXTERIOR MASONRY / PARAPETS / ROOFS / WATER INFILTRATION / WINDOWS,9953000,CIP,K112,7115 15 AVENUE,Brooklyn,11204,BROOKLYN,40.61978,-74.000792,311,38,3157760,3061800001,190,BK1101,"(40.61978, -74.000792)",23-Aug,13511,1,2,44,37
NEW BRIDGES,K,17,STANDALONE GYM ANNEX,8828000,CIP,K474,272 SCHENECTADY AVENUE,Brooklyn,11204,BROOKLYN,40.66967,-73.93383,308,35,3000000,3013890035,35301,BK0802,"(40.66967, -73.93383)",23-Aug,17615,16,2,48,49
BRONX MATH PREP - BRONX,X,8,IPDVS CAMERA INSTALLATION,389449,CIP,X174,456 WHITE PLAINS ROAD,Bronx,11204,BRONX,40.814833,-73.85658,209,18,2020580,2034780018,4,BX0902,"(40.814833, -73.85658)",23-Aug,11611,58,5,31,26
I.S. 119 - QUEENS,Q,24,EXTERIOR DOORS / EXTERIOR MASONRY / FIRE ALARM / FLOOD ELIMINATION / LL26 EXIT SIGNS / PARAPETS / ROOFS / WINDOWS,19271000,CIP,Q119,74-01 78 AVENUE,Queens,11204,QUEENS,40.704406,-73.875183,405,32,4092660,4038120020,63301,QN0503,"(40.704406, -73.875183)",23-Aug,15310,54,3,34,62
P.S. / I.S. 270 - QUEENS,Q,29,LSP DOMESTIC WATER HEATER,148130.95,CIP,Q270,233-15 MERRICK BOULEVARD,Queens,11204,QUEENS,40.674831,-73.736713,413,31,4529511,4129730001,618,QN1305,"(40.674831, -73.736713)",23-Aug,24018,63,3,47,63
M094 SPED - MANHATTAN,M,2,FY20 RESO A PLAYGROUND UPGRADE,60000,CIP,M340,590 SIXTH AVENUE,Manhattan,11204,MANHATTAN,40.739178,-73.9955,105,3,1068261,1008187501,54,MN0501,"(40.739178, -73.9955)",23-Aug,12074,11,4,10,7
WILLIAM MAXWELL VOC HS - K,K,19,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,11700000,CIP,K660,145 PENNSYLVANIA AVENUE,Brooklyn,11204,BROOKLYN,40.674135,-73.89643,305,37,3083660,3037040001,1144,BK0502,"(40.674135, -73.89643)",23-Aug,17214,45,2,37,47
P.S. 187 - MANHATTAN,M,6,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,22535.98,CIP,M187,349 CABRINI BOULEVARD,Manhattan,11204,MANHATTAN,40.85674,-73.937056,112,10,1064371,1021790365,273,MN1202,"(40.85674, -73.937056)",23-Aug,13098,47,4,39,22
P.S. 39 - STATEN ISLAND,R,31,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,3347318,CIP,R039,99 MACFARLAND AVENUE,Staten Island,11204,STATEN IS,40.597653,-74.070052,502,50,5045488,5030970014,2002,SI0201,"(40.597653, -74.070052)",23-Aug,10692,30,1,14,76
WEST PREP ACADEMY - MANHATTAN,M,3,ENY SUPPLEMENTAL COOLING / FY15 RESO A AUDITORIUM UPGRADE,1277000,CIP,M145,150 WEST 105 STREET,Manhattan,11204,MANHATTAN,40.799376,-73.965308,107,7,1083561,1018590001,189,MN0703,"(40.799376, -73.965308)",23-Aug,12422,20,4,23,15
P.S. 116 - QUEENS,Q,29,Demo,4645600,CAP,Q116,107-25 WREN PLACE,Queens,11433,QUEENS,40.700606,-73.782302,412,27,4218416,4102500001,414,QN1202,"(40.700606, -73.782302)",23-Aug,24668,41,3,6,61
P.S. 130 - BRONX,X,8,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5273474.75,CIP,X130,750 PROSPECT AVENUE,Bronx,11204,BRONX,40.817721,-73.902421,202,17,2005168,2026880001,85,BX0202,"(40.817721, -73.902421)",23-Aug,10933,8,5,43,24
P.S. 112 - BRONX,X,11,FY19 RESO A AUDITORIUM UPGRADE,64700,CIP,X112,1925 SCHIEFFELIN AVENUE,Bronx,11204,BRONX,40.885008,-73.843193,212,12,2065991,2049050500,458,BX1202,"(40.885008, -73.843193)",23-Aug,11275,29,5,2,30
P.S. 155 - BROOKLYN,K,23,CRACKED MASONRY / DOMESTIC PIPING / ELECTRICAL SYSTEMS / HEATING PLANT UPGRADE / ROOF LEAKS / WATER INFILTRATION / WINDOWS,20470000,CIP,K155,1355 HERKIMER STREET,Brooklyn,11204,BROOKLYN,40.677415,-73.908734,316,37,3042263,3015520043,369,BK1601,"(40.677415, -73.908734)",23-Aug,13516,55,2,37,46
P.S. 46 - STATEN ISLAND,R,31,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,1053731.65,CIP,R046,41 REID AVENUE,Staten Island,11204,STATEN IS,40.59377,-74.08058,502,50,5047613,5032430001,64,SI0201,"(40.59377, -74.08058)",23-Aug,10692,30,1,14,76
P.S. 312 - BROOKLYN,K,22,FY16 RESO A LEARNING GARDEN,11844828,CIP,K342,1415 EAST 71 STREET,Brooklyn,11204,BROOKLYN,40.622699,-73.910624,318,46,3000000,3083930001,69602,BK1802,"(40.622699, -73.910624)",23-Aug,13825,5,2,8,38
P.S. 100 - BROOKLYN,K,21,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,20790000,CIP,K100,2951 WEST 3 STREET,Brooklyn,11204,BROOKLYN,40.57732,-73.971313,313,48,3196595,3072810001,35602,BK1302,"(40.57732, -73.971313)",23-Aug,18184,21,2,15,35
P.S. 41 - QUEENS,Q,26,Addition,50310129,CAP,Q041,214-43 35 AVENUE,Queens,11361,QUEENS,40.769601,-73.770863,411,19,4135975,4061210001,1097,QN1102,"(40.769601, -73.770863)",23-Aug,14196,26,3,20,69
I.S. @ 47-10 BARNETT AVENUE - QUEENS,Q,30,New,68887000,CAP,Q429,47-10 BARNETT AVENUE,Queens,11104,QUEENS,40.750017,-73.915867,402,26,4000846,4001250010,169,QN0202,"(40.750017, -73.915867)",23-Aug,16861,53,3,33,66
P.S. 4 - STATEN ISLAND,R,31,COVID VENTILATION,428884,CIP,R004,200 NEDRA LANE,Staten Island,11204,STATEN IS,40.552975,-74.194597,503,51,5079499,5060250030,17013,SI0303,"(40.552975, -74.194597)",23-Aug,10699,15,1,9,77
P.S. 140 - MANHATTAN,M,1,ANSUL SYSTEMS/FIRE SUPPRESSION / ELECTRICAL UPGRADE / EXTERIOR MASONRY / FLOOD ELIMINATION / HEATING PLANT UPGRADE / HVAC UPGRADE FOR CLASSROOMS AND PA SPACES / LOW VOLTAGE ELECTRICAL SYSTEM / PARAPETS / ROOFS / WINDOWS,49922946,CIP,M140,123 RIDGE STREET,Manhattan,11204,MANHATTAN,40.71925,-73.983056,103,1,1004091,1003440001,2201,MN0302,"(40.71925, -73.983056)",23-Aug,11723,70,4,32,4
NEW DORP HS - STATEN ISLAND,R,31,SCIENCE LAB UPGRADES,2646708,CIP,R435,465 NEW DORP LANE,Staten Island,11204,STATEN IS,40.569393,-74.107737,502,50,5055367,5039300010,11204,SI9592,"(40.569393, -74.107737)",23-Aug,10693,30,1,14,76
P.S. 181 - BROOKLYN,K,17,LOW VOLTAGE ELECTRICAL SYSTEM,1906252,CIP,K181,1023 NEW YORK AVENUE,Brooklyn,11204,BROOKLYN,40.648138,-73.946367,317,45,3327776,3049040010,856,BK1701,"(40.648138, -73.946367)",23-Aug,16866,61,2,26,40
BROOKLYN GARDENS ELEMENTARY SCHOOL,K,19,FY17 RESO A AUDITORIUM  UPGRADE,217610,CIP,K174,574 DUMONT AVENUE,Brooklyn,11204,BROOKLYN,40.665798,-73.897723,305,42,3084617,3038020015,1130,BK0503,"(40.665798, -73.897723)",23-Aug,17214,45,2,25,47
PRE-K CENTER @ 168 8TH STREET - BROOKLYN,K,15,New,27543000,CAP,K710,168 8TH STREET,Brooklyn,11215,BROOKLYN,40.671728,-73.989838,306,39,3022044,3010030011,121,BK0601,"(40.671728, -73.989838)",23-Aug,17617,14,2,27,50
M169 SPED - MANHATTAN,M,2,FLOOD ELIMINATION / PARAPETS / PATH OF TRAVEL ROOF / ROOFS / WINDOWS,5503000,CIP,M169,110 EAST 88 STREET,Manhattan,11204,MANHATTAN,40.781227,-73.955673,108,4,1048043,1015167502,14802,MN0802,"(40.781227, -73.955673)",23-Aug,10099,23,4,51,11
MIDDLE COLLEGE HIGH SCHOOL - QUEENS,Q,24,WATER INFILTRATION,944945,CIP,Q520,45-35 VAN DAM STREET,Queens,11204,QUEENS,40.744412,-73.93364,402,26,4003442,4002490001,17902,QN0202,"(40.744412, -73.93364)",23-Aug,16858,53,3,33,66
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -,R,31,LSP VENTILATION/DUST COLLECTION SYSTEM,79200,CIP,R600,290 ST MARKS PLACE,Staten Island,11204,STATEN IS,40.642793,-74.07873,501,49,5000000,5000190004,9,SI0101,"(40.642793, -74.07873)",23-Aug,10369,4,1,13,74
P.S. 109 - BROOKLYN,K,22,LSP REPLACE LEAKING PVI DOMESTIC WATER HEATER,11119.9,CIP,K395,1001 EAST 45 STREET,Brooklyn,11204,BROOKLYN,40.636455,-73.933582,317,45,3114526,3050220002,836,BK1702,"(40.636455, -73.933582)",23-Aug,16866,61,2,26,40
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -,R,31,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,14559000,CIP,R600,290 ST MARKS PLACE,Staten Island,11204,STATEN IS,40.642793,-74.07873,501,49,5000000,5000190004,9,SI0101,"(40.642793, -74.07873)",23-Aug,10369,4,1,13,74
P.S. 84 - MANHATTAN,M,3,FY18 RESO A PLAYGROUND UPGRADE,588634,CIP,M084,32 WEST 92 STREET,Manhattan,11204,MANHATTAN,40.789526,-73.967574,107,6,1081042,1012050006,177,MN0702,"(40.789526, -73.967574)",23-Aug,12422,20,4,19,15
P.S. 104 - QUEENS,Q,27,DOWNTOWN FAR ROCKAWAY REZONING PARK UPGRADES,697500,CIP,Q104,26-01 MOTT AVENUE,Queens,11204,QUEENS,40.608467,-73.764548,414,31,4442313,4156930001,100801,QN1401,"(40.608467, -73.764548)",23-Aug,20529,51,3,47,59
COLLABORATIVE ARTS MIDDLE SCHOOL - QUEENS,Q,29,FLOOD ELIMINATION,522000,CIP,Q231,145-00 SPRINGFIELD BOULEVARD,Queens,11204,QUEENS,40.664608,-73.758784,413,31,4285682,4133310001,320,QN1306,"(40.664608, -73.758784)",23-Aug,15313,63,3,47,63
P.S. 70 - QUEENS,Q,30,FY20 RESO LIBRARY UPGRADE,293000,CIP,Q070,30-45 42 STREET,Queens,11204,QUEENS,40.762103,-73.914227,401,22,4442503,4006960014,149,QN0104,"(40.762103, -73.914227)",23-Aug,16860,39,3,4,72
EDWARD R. MURROW HS - K,K,21,FY11 RESO A- TV STUDIO UPGRADE / PATH OF TRAVEL RESO A TV STUDIO UPGRADE,1679000,CIP,K525,1600 AVENUE L,Brooklyn,11204,BROOKLYN,40.620525,-73.959285,314,44,3180673,3067340109,768,BK1403,"(40.620525, -73.959285)",23-Aug,13513,60,2,18,43
P.S. 102 - QUEENS,Q,24,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,36440,CIP,Q102,55-24 VAN HORN STREET,Queens,11204,QUEENS,40.733514,-73.877857,404,30,4437597,4028790031,479,QN0401,"(40.733514, -73.877857)",23-Aug,14784,66,3,5,68
P.S. 89 - QUEENS,Q,24,LSP DOMESTIC WATER HEATER,195000,CIP,Q089,85-28 BRITTON AVENUE,Queens,11204,QUEENS,40.745923,-73.880205,404,25,4037370,4015140001,27101,QN0401,"(40.745923, -73.880205)",23-Aug,14784,66,3,5,68
P.S. 4 - STATEN ISLAND,R,31,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6877000,CIP,R004,200 NEDRA LANE,Staten Island,11204,STATEN IS,40.552975,-74.194597,503,51,5079499,5060250030,17013,SI0303,"(40.552975, -74.194597)",23-Aug,10699,15,1,9,77
P.S. 69 - QUEENS,Q,30,FIRE ALARM REPLACEMENT,1750964.8,CIP,Q069,77-02 37 AVENUE,Queens,11204,QUEENS,40.749266,-73.888817,403,25,4029892,4012880001,287,QN0301,"(40.749266, -73.888817)",23-Aug,14783,65,3,5,73
FAIRMONT NEIGHBORHOOD SCHOOL,X,12,IPDVS CAMERA INSTALLATION,763000,CIP,X050,1550 VYSE AVENUE,Bronx,11204,BRONX,40.834157,-73.887512,203,17,2010786,2029960010,157,BX0303,"(40.834157, -73.887512)",23-Aug,11269,34,5,43,25
P.S. 140 - BRONX,X,8,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS,3935776,CIP,X140,916 EAGLE AVENUE,Bronx,11204,BRONX,40.823289,-73.907948,203,17,2004469,2026270009,18502,BX0301,"(40.823289, -73.907948)",23-Aug,10934,34,5,43,25
VAN SICLEN COMMUNITY MIDDLE SCHOOL,K,19,FY20 RESO A SCIENCE LAB UPGRADES,839000,CIP,K166,800 VAN SICLEN AVENUE,Brooklyn,11204,BROOKLYN,40.66011,-73.885387,305,42,3097675,3043490050,1104,BK0503,"(40.66011, -73.885387)",23-Aug,17214,45,2,25,47
M169 SPED - MANHATTAN,M,2,FY20 RESO A CAFETERIA UPGRADE,68000,CIP,M169,110 EAST 88 STREET,Manhattan,11204,MANHATTAN,40.781227,-73.955673,108,4,1048043,1015167502,14802,MN0802,"(40.781227, -73.955673)",23-Aug,10099,23,4,51,11
I.S. 206B - BRONX,X,10,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,648000,CIP,X206,2280 AQUEDUCT AVENUE,Bronx,11204,BRONX,40.859686,-73.906495,207,14,2086823,2032090001,253,BX0701,"(40.859686, -73.906495)",23-Aug,11606,24,5,29,34
P.S. 186 - QUEENS,Q,26,EXTERIOR DOORS / EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,12200000,CIP,Q186,252-12 72 AVENUE,Queens,11204,QUEENS,40.750007,-73.721607,413,23,4173640,4084010375,155103,QN1301,"(40.750007, -73.721607)",23-Aug,24335,63,3,16,63
P.S. 184 - BROOKLYN,K,23,ELECTRICAL WORK FOR A/C INITIATIVE,14432,CIP,K184,273 NEWPORT STREET,Brooklyn,11204,BROOKLYN,40.659966,-73.904901,316,41,3082391,3036060001,918,BK1602,"(40.659966, -73.904901)",23-Aug,17614,55,2,25,46
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,M,5,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,216000,CIP,M136,6 EDGECOMBE AVENUE,Manhattan,11204,MANHATTAN,40.817372,-73.947712,110,9,1059460,1019600001,22102,MN1002,"(40.817372, -73.947712)",23-Aug,12427,18,4,36,20
I.S. 227 - QUEENS,Q,30,PA SYSTEM REPLACEMENT,1380000,CIP,Q227,32-02 JUNCTION BOULEVARD,Queens,11204,QUEENS,40.758408,-73.874472,403,21,4034891,4014230001,353,QN0302,"(40.758408, -73.874472)",23-Aug,14511,65,3,21,73
P.S./I.S. @ 3761 10TH AVENUE - MANHATTAN,M,6,Demo,1730400,CAP,M502,3761 10TH AVENUE,Manhattan,10034,MANHATTAN,40.860962,-73.921475,112,10,1000000,1021980001,299,MN1203,"(40.860962, -73.921475)",23-Aug,13092,47,4,39,22
P.S. 47 - QUEENS,Q,27,New,49941000,CAP,Q343,9 POWER ROAD,Queens,11693,QUEENS,40.606353,-73.820445,414,32,4448968,4153130485,107201,QN1403,"(40.606353, -73.820445)",23-Aug,20531,51,3,41,58
P.S. 57 - STATEN ISLAND,R,31,FY21 RESO A PLAYGROUND UPGRADE,566313,CIP,R057,140 PALMA DRIVE,Staten Island,11204,STATEN IS,40.611508,-74.083177,501,49,5043519,5028880040,4004,SI0103,"(40.611508, -74.083177)",23-Aug,10691,4,1,13,74
M.S. 282 - QUEENS,Q,27,LSP- DOMESTIC WATER HEATER,141664.07,CIP,Q465,8-21 BAY 25 STREET,Queens,11204,QUEENS,40.60201,-73.762795,414,31,4300730,4157360001,100804,QN1401,"(40.60201, -73.762795)",23-Aug,20529,51,3,47,59
BROOKLYN TECH HS - K,K,13,LL 26-EXIT SIGNS,319643.28,CIP,K430,29 FT GREENE PLACE,Brooklyn,11204,BROOKLYN,40.688834,-73.976905,302,35,3058752,3020980013,33,BK0203,"(40.688834, -73.976905)",23-Aug,17619,68,2,48,55
P.S. 244 - QUEENS,Q,25,IPDVS FULL CAMERA UPGRADE,255000,CIP,Q244,137-20 FRANKLIN AVENUE,Queens,11204,QUEENS,40.754654,-73.826759,407,20,4541682,4051370043,79701,QN0707,"(40.754654, -73.826759)",23-Aug,14190,22,3,3,67
X012 SPED - BRONX,X,11,IPDVS CAMERA INSTALLATION,204500,CIP,X012,2555 TRATMAN AVENUE,Bronx,11204,BRONX,40.840145,-73.844419,210,18,2041864,2039830001,200,BX1001,"(40.840145, -73.844419)",23-Aug,11270,43,5,12,28
P.S. 26 - STATEN ISLAND,R,31,ELECTRICAL WORK FOR A/C INITIATIVE,3146.56,CIP,R026,4108 VICTORY BOULEVARD,Staten Island,11204,STATEN IS,40.591702,-74.190648,502,50,5107386,5026340001,29102,SI0204,"(40.591702, -74.190648)",23-Aug,10700,30,1,14,75
P.S. 80 - QUEENS,Q,28,FY22 RESO A AUDITORIUM UPGRADE,382132,CIP,Q080,171-05 137 AVENUE,Queens,11204,QUEENS,40.67282,-73.769252,412,28,4270056,4124950166,33405,QN1204,"(40.67282, -73.769252)",23-Aug,24669,41,3,46,71
P.S. 203 - QUEENS,Q,26,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6575000,CIP,Q203,53-11 SPRINGFIELD BOULEVARD,Queens,11204,QUEENS,40.754201,-73.760636,411,23,4161005,4074820317,138501,QN1102,"(40.754201, -73.760636)",23-Aug,14506,26,3,16,69
P.S. 87 - QUEENS,Q,24,FY19 RESO A CAFETERIA / MULTIPURPOSE ROOM UPGRADE,1300000,CIP,Q087,67-54 80 STREET,Queens,11204,QUEENS,40.711815,-73.871238,405,30,4091737,4037820027,621,QN0504,"(40.711815, -73.871238)",23-Aug,15309,54,3,34,62
NEW UTRECHT HS - BROOKLYN,K,20,NATATORIUM RECONSTRUCTION / WATER PENETRATION INTO BASEMENT,8803000,CIP,K445,1601 80 STREET,Brooklyn,11204,BROOKLYN,40.613262,-74.003404,311,38,3162711,3062710001,182,BK1101,"(40.613262, -74.003404)",23-Aug,17616,1,2,44,37
P.S. 119 - BRONX,X,8,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6240000,CIP,X119,1075 PUGSLEY AVENUE,Bronx,11204,BRONX,40.828518,-73.856569,209,18,2025696,2037890021,4001,BX0903,"(40.828518, -73.856569)",23-Aug,11610,58,5,31,26
DISTRICT 27 PRE-K CENTER @ 160-06 CROSS BAY BOULEVARD - QUEENS,Q,27,Demo,325600,CAP,Q486,160-06 CROSS BAY BOULEVARD,Queens,11414,QUEENS,40.657176,-73.839392,410,32,4293775,4140300006,89201,QN1003,"(40.657176, -73.839392)",23-Aug,15314,62,3,41,64
J.H.S. 50 - BROOKLYN,K,14,STRUCTURAL DEFECTS,293000,CIP,K050,183 SOUTH 3 STREET,Brooklyn,11204,BROOKLYN,40.711704,-73.960275,301,34,3063128,3024190001,523,BK0102,"(40.711704, -73.960275)",23-Aug,17613,36,2,30,56
IT TAKES A VILLAGE ACADEMY - K,K,18,LSP- GYM UPGRADE,264026.4,CIP,K415,5800 TILDEN AVENUE,Brooklyn,11204,BROOKLYN,40.648657,-73.922171,317,45,3104598,3047420001,936,BK1703,"(40.648657, -73.922171)",23-Aug,16866,61,2,26,40
P.S. 195 - BROOKLYN,K,22,EXTERIOR MASONRY,1914688,CIP,K195,131 IRWIN STREET,Brooklyn,11204,BROOKLYN,40.579451,-73.943819,315,48,3246519,3087520035,620,BK1503,"(40.579451, -73.943819)",23-Aug,13826,32,2,15,36
I.S. 53 - QUEENS,Q,27,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,10877000,CIP,Q053,10-45 NAMEOKE STREET,Queens,11204,QUEENS,40.603622,-73.749097,414,31,4298234,4155570025,103202,QN1401,"(40.603622, -73.749097)",23-Aug,20529,51,3,47,59
K396 SPED - BROOKLYN,K,23,FIRE ALARM REPLACEMENT,1553881,CIP,K327,111 BRISTOL STREET,Brooklyn,11204,BROOKLYN,40.668475,-73.912351,316,41,3081032,3035200008,924,BK1602,"(40.668475, -73.912351)",23-Aug,17614,55,2,17,46
P.S. 24 - QUEENS,Q,25,Addition,82451000,CAP,Q024,45-57 UNION STREET,Queens,11355,QUEENS,40.75207,-73.818789,407,20,4607475,4052010021,1205,QN0705,"(40.75207, -73.818789)",23-Aug,14190,22,3,3,67
P.S. 152 - MANHATTAN,M,6,NYS AUDITORIUM UPGRADE,1457880,CIP,M152,93 NAGLE AVENUE,Manhattan,11204,MANHATTAN,40.860412,-73.927936,112,10,1064149,1021730001,283,MN1202,"(40.860412, -73.927936)",23-Aug,13098,47,4,39,22
P.S. 134 - QUEENS,Q,29,EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / PARAPETS / WATER PENETRATION,24888000,CIP,Q134,203-02 109TH AVENUE,Queens,11204,QUEENS,40.70799,-73.755269,412,27,4440330,4109060001,508,QN1206,"(40.70799, -73.755269)",23-Aug,15312,41,3,6,61
3K CENTER @ 10 ELM STREET - STATEN ISLAND,R,31,Lease,9188000,CAP,R074,10 ELM STREET,Staten Is,10310,STATEN IS,40.641761,-74.114913,501,49,5168587,5001580006,9701,SI0104,"(40.641761, -74.114913)",23-Aug,10697,4,1,13,74
P.S. 125 - MANHATTAN,M,5,FY18 RESO A PLAYGROUNDS,2047975,CIP,M125,425 WEST 123 STREET,Manhattan,11204,MANHATTAN,40.810431,-73.955809,109,7,1059526,1019640012,20901,MN0901,"(40.810431, -73.955809)",23-Aug,12424,37,4,23,17
D75 SCHOOL @ 72ND STREET - BROOKLYN,K,20,Lease,11603878,CAP,K464,1514 72 STREET,Brooklyn,11228,BROOKLYN,40.619061,-74.000753,311,38,3383724,3061910001,190,BK1101,"(40.619061, -74.000753)",23-Aug,13511,1,2,44,37
P.S./I.S. 217 - MANHATTAN,M,2,FY14 RESO A GREEN ROOF,1615100,CIP,M271,645 MAIN STREET,Manhattan,11204,MANHATTAN,40.763894,-73.947916,108,5,1084848,1013730001,23802,MN0801,"(40.763894, -73.947916)",23-Aug,13099,23,4,1,72
P.S. 87 - BRONX,X,11,EXISTING SCHOOL RENOVATION WORK,4415061.85,CIP,X087,1935 BUSSING AVENUE,Bronx,11204,BRONX,40.895104,-73.845968,212,12,2069061,2050180001,428,BX1203,"(40.895104, -73.845968)",23-Aug,11275,29,5,2,30
P.S. 108 - MANHATTAN,M,4,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / RPZ BACKFLOW PREVENTION DEVICES,12059000,CIP,M108,1615 MADISON AVENUE,Manhattan,11204,MANHATTAN,40.795146,-73.948368,111,8,1051584,1016140021,17401,MN1101,"(40.795146, -73.948368)",23-Aug,12426,7,4,35,14
3K CENTER @ 18-31 131ST STREET - QUEENS,Q,25,Lease,18388000,CAP,Q443,18-31 131ST STREET,Queens,11356,QUEENS,40.782958,-73.837713,407,19,4099024,4041370001,945,QN0701,"(40.782958, -73.837713)",23-Aug,14191,22,3,20,67
Q075 SPED - QUEENS,Q,24,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,8727500,CIP,Q075,16-66 HANCOCK STREET,Queens,11204,QUEENS,40.698476,-73.905556,405,34,4085584,4035490044,553,QN0502,"(40.698476, -73.905556)",23-Aug,15310,54,3,30,62
BROOKLYN HS OF THE ARTS - BROOKLYN,K,15,COVID VENTILATION / EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / WINDOWS,12095760,CIP,K656,500 PACIFIC STREET,Brooklyn,11204,BROOKLYN,40.684504,-73.980678,302,33,3001189,3001920001,39,BK0202,"(40.684504, -73.980678)",23-Aug,17619,68,2,38,54
P.S. 111 - QUEENS,Q,30,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,7508060,CIP,Q111,37-15 13 STREET,Queens,11204,QUEENS,40.758831,-73.93938,401,26,4004419,4003630001,43,QN0105,"(40.758831, -73.93938)",23-Aug,16858,39,3,33,72
P.S./I.S. 499 - QUEENS,Q,25,LSP DOMESTIC WATER HEATER REPLACEMENT,100000,CIP,Q499,148-20 REEVES AVENUE,Queens,11204,QUEENS,40.739246,-73.822057,408,24,4467571,4065070150,809,QN0801,"(40.739246, -73.822057)",23-Aug,14509,25,3,24,65
P.S. 99 - BROOKLYN,K,21,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM,12771000,CIP,K099,1120 EAST 10 STREET,Brooklyn,11204,BROOKLYN,40.621565,-73.965595,312,44,3171478,3065350011,454,BK1204,"(40.621565, -73.965595)",23-Aug,13513,2,2,18,39
I.S. 204 - QUEENS,Q,30,EXTERIOR MASONRY / PARAPETS / WINDOWS,13889000,CIP,Q204,36-41 28 STREET,Queens,11204,QUEENS,40.757065,-73.932664,401,26,4004156,4003430001,51,QN0105,"(40.757065, -73.932664)",23-Aug,16863,39,3,33,72
P.S. 7 - QUEENS,Q,24,LSP- DOMESTIC WATER HEATER,13607.82,CIP,Q007,80-55 CORNISH AVENUE,Queens,11204,QUEENS,40.739115,-73.882487,404,25,4467710,4015380075,485,QN0401,"(40.739115, -73.882487)",23-Aug,14784,66,3,5,68
3K CENTER @ 61-02/10 LAUREL HILL BLVD - QUEENS,Q,24,Lease,8305000,CAP,Q399,61-02/10 LAUREL HILL BOULEVARD,Queens,11377,,,,,,,,,,,23-Aug,,,,,
P.S. 225 - MANHATTAN,M,2,EXTERIOR DOORS / EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,18888000,CIP,M480,317 EAST 67 STREET,Manhattan,11204,MANHATTAN,40.765359,-73.960059,108,5,1083343,1014420001,118,MN0801,"(40.765359, -73.960059)",23-Aug,10090,23,4,1,11
I.S. 340 - BROOKLYN,K,13,LEAD SERVICE LINE,101344,CIP,K874,227 STERLING PLACE,Brooklyn,11204,BROOKLYN,40.676094,-73.97038,308,35,3029060,3011640057,163,BK0801,"(40.676094, -73.97038)",23-Aug,13829,16,2,48,50
P.S. 277 - BROOKLYN,K,22,EXTERIOR MASONRY / PARAPETS / ROOFS,4175000,CIP,K277,2529 GERRITSEN AVENUE,Brooklyn,11204,BROOKLYN,40.596145,-73.928793,318,46,3242369,3085900650,666,BK1891,"(40.596145, -73.928793)",23-Aug,13825,5,2,8,36
